Key,Id,Korean(ko),English(en)
"line:09046b0",62813446144,"호랑이: 어흥!",Tiger: Ugh!
"line:0725d55",62817640448,"호랑이: 잡아먹겠다!",Tiger: I will eat you!
"line:0151345",62817640449,"나: 제발 목숨만은 살려주세요!",Me: Please spare my life!
"line:08dc9cc",62817640450,"호랑이: 뇌물이라면 생각해보지",Tiger: Think about it if it’s a bribe.
"line:0acf141",62817640451,"나: 떡이라도 드릴게요!",Me: I’ll give you some rice cake!
"line:01b7b5c",62817640452,"나: 다른 사람을 드릴게요!",Me: I’ll give you someone else!
"line:003d92a",62817640453,"호랑이: 난 당장 배가 고프단 말이다!",Tiger: I’m hungry right now!
"line:0df07dc",62817640454,"나: 떡 하나 줄테니까 봐주세요!",Me: I’ll give you a rice cake so please look at it!
"line:0f20601",62817640455,"나: 난 이렇게 죽는구나! 세상아 안녕!",“Me: This is how I die! Goodbye world!
"line:0e27c66",62817640456,"호랑이: 흠... 떡이라고?",Tiger: Hmm... rice cake?
"line:0e13761",62817640457,"호랑이: 몇 개나 줄 수 있는데?",Tiger: How many can you give me?
"line:04cb4e3",62817640458,"나: 집에 많아요! 집에만 다녀오게 해주세요!",Me: There are a lot of them at home! Please just let me go home!
